state/ut,cnfrmd,actv,rcvd,dcsd
Bagalkote,96,12,83,1
Ballari,71,27,43,1
Belagavi,302,146,155,1
Bengaluru Rural,36,24,11,1
Bengaluru Urban,564,244,298,21
Bidar,284,127,151,6
Chamarajanagara,1,1,0,0
Chikkaballapura,152,40,109,3
Chikkamagaluru,18,0,18,0
Chitradurga,40,17,23,0
Dakshina Kannada,214,112,95,6
Davanagere,214,43,165,6
Dharwad,70,24,45,1
Gadag,49,13,34,2
Hassan,214,64,150,0
Haveri,22,8,14,0
Kalaburagi,780,493,279,8
Kodagu,3,2,1,0
Kolar,30,4,26,0
Koppal,12,8,4,0
Mandya,334,87,247,0
Mysuru,99,5,94,0
Other State,34,6,27,1
Raichur,359,276,82,1
Ramanagara,7,6,1,0
Shivamogga,73,42,31,0
Tumakuru,34,4,28,2
Udupi,947,619,327,1
Uttara Kannada,96,14,82,0
Vijayapura,217,80,131,6
Yadgir,669,560,108,1
Total,6041,3108,2862,69
